yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore,,,,,,,,,
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,325 - 330,21,40,25,14,39,61,NULL,325 , 330,327.5,39,12772.5,22480,327.5,12772.5,39
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,50 - 55,30,34,26,10,36,64,2413,50 , 55,0,36,0,22480,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,<10,34,32,26,57,43,2497,45 , 50,0,57,0,22480,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,55 - 60,37,47,12,<10,16,84,2473,55 , 60,0,16,0,22480,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,65 - 70,19,49,18,13,31,69,2522,65 , 70,0,31,0,22480,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,50 - 55,<10,36,36,20,56,44,2580,50 , 55,0,56,0,22480,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,55 - 60,22,33,31,14,45,55,2570,55 , 60,0,45,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,325 - 330,18,30,40,12,52,48,NULL,325 , 330,0,52,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,50 - 55,18,34,30,18,48,52,2423,50 , 55,0,48,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,23,23,36,17,53,47,2474,45 , 50,0,53,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,55 - 60,19,28,44,<10,53,47,2500,55 , 60,0,53,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,65 - 70,27,39,28,<10,34,66,2500,65 , 70,0,34,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,50 - 55,<10,20,54,20,74,26,2587,50 , 55,0,74,0,22480,0,0,0
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,55 - 60,14,31,47,<10,55,45,2576,55 , 60,0,55,0,22480,0,0,0
2015,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,0,105 - 110,<10,52,37,<10,40,60,NULL,105 , 110,0,40,0,22480,0,0,0
2015,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,<10,32,60,<10,66,34,NULL,45 , 50,0,66,0,22480,0,0,0
2015,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,8,55 - 60,12,69,19,<10,19,81,NULL,55 , 60,0,19,0,22480,0,0,0
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,630 - 635,11,26,30,33,63,37,NULL,630 , 635,632.5,63,39847.5,21745,632.5,39847.5,63
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,5,130 - 135,13,40,24,23,47,53,2525,130 , 135,0,47,0,21745,0,0,0
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,145 - 150,<10,25,36,30,66,34,2575,145 , 150,0,66,0,21745,0,0,0
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,180 - 185,10,22,27,41,68,32,2600,180 , 185,0,68,0,21745,0,0,0
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,14,21,31,35,66,34,2618,170 , 175,0,66,0,21745,0,0,0
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,0,630 - 635,<10,16,42,36,78,22,NULL,630 , 635,0,78,0,21745,0,0,0
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,5,130 - 135,<10,19,40,33,73,27,2552,130 , 135,0,73,0,21745,0,0,0
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,6,145 - 150,<10,21,39,36,75,25,2584,145 , 150,0,75,0,21745,0,0,0
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,7,180 - 185,<10,14,45,36,81,19,2616,180 , 185,0,81,0,21745,0,0,0
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,<10,14,44,39,82,18,2639,170 , 175,0,82,0,21745,0,0,0
2015,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,0,165 - 170,11,52,35,<10,36,64,NULL,165 , 170,0,36,0,21745,0,0,0
2015,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,8,165 - 170,11,52,35,<10,36,64,NULL,165 , 170,0,36,0,21745,0,0,0
2015,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,235 - 240,11,27,41,21,63,37,NULL,235 , 240,237.5,63,14962.5,21750,237.5,14962.5,63
2015,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,115 - 120,<10,22,41,29,71,29,2471,115 , 120,0,71,0,21750,0,0,0
2015,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,13,32,41,13,55,45,2485,115 , 120,0,55,0,21750,0,0,0
2015,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,230 - 235,<10,21,28,44,72,28,NULL,230 , 235,0,72,0,21750,0,0,0
2015,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,3,110 - 115,<10,20,23,53,75,25,2489,110 , 115,0,75,0,21750,0,0,0
2015,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,11,21,33,35,68,32,2507,115 , 120,0,68,0,21750,0,0,0
2015,sch,sci,Regular,Amherst,17,Clark-Wilkins School,21750,0,115 - 120,<10,30,60,<10,61,39,NULL,115 , 120,0,61,0,21750,0,0,0
2015,sch,sci,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,<10,30,60,<10,61,39,NULL,115 , 120,0,61,0,21750,0,0,0
